Time resolution is 1 ps
Time: 0 | x_in = xxxxxxxxxxxxxxxx | y_out = xxxxxxxxxxxxxxxx
Time: 4251750000 | x_in = 0001101000000010 | y_out = 0001110010100101
Time: 4274426000 | x_in = 0001110000000011 | y_out = 0001100111100010
Time: 4297102000 | x_in = 0001110111100000 | y_out = 0001011100000100
Time: 4319778000 | x_in = 0001111110010110 | y_out = 0001010000000011
Time: 4342454000 | x_in = 0010000100100100 | y_out = 0001000011011000
Time: 4365130000 | x_in = 0010001010000110 | y_out = 0000110101111111
Time: 4387806000 | x_in = 0010001110111100 | y_out = 0000100111111001
Time: 4410482000 | x_in = 0010010011000100 | y_out = 0000011001001001
Time: 4433158000 | x_in = 0010010110011100 | y_out = 0000001001111000
Time: 4455834000 | x_in = 0010011001000100 | y_out = 1111111010001111
Time: 4478510000 | x_in = 0010011010111010 | y_out = 1111101010011000
Time: 4501186000 | x_in = 0010011011111101 | y_out = 1111011010011110
Time: 4523862000 | x_in = 0010011100001111 | y_out = 1111001010101001
Time: 4546538000 | x_in = 0000000000000000 | y_out = 1110111011000010
Time: 4569214000 | x_in = 0000001100001010 | y_out = 1110101011110000
Time: 4591890000 | x_in = 0000011000010000 | y_out = 1110011100111000
Time: 4614566000 | x_in = 0000100100001100 | y_out = 1110001110100000
Time: 4637242000 | x_in = 0000101111111011 | y_out = 1110000000101101
Time: 4659918000 | x_in = 0000111011010110 | y_out = 1101110011100011
Time: 4682594000 | x_in = 0001000110011011 | y_out = 1101100111000110
Time: 4705270000 | x_in = 0001010001000100 | y_out = 1101011011011011
Time: 4727946000 | x_in = 0001011011001110 | y_out = 1101010000100101
Time: 4750622000 | x_in = 0001100100110101 | y_out = 1101000110101000
Time: 4773298000 | x_in = 0001101101110100 | y_out = 1100111101100111
Time: 4795974000 | x_in = 0001110110001000 | y_out = 1100110101100100
Time: 4818650000 | x_in = 0001111101101111 | y_out = 1100101110100011
Time: 4841326000 | x_in = 0010000100100101 | y_out = 1100101000100110
Time: 4864002000 | x_in = 0010001010100111 | y_out = 1100100011101111
Time: 4886678000 | x_in = 0010001111110011 | y_out = 1100011111111110
Time: 4909354000 | x_in = 0010010100001000 | y_out = 1100011101010111
Time: 4932030000 | x_in = 0010010111100011 | y_out = 1100011011111000
Time: 4954706000 | x_in = 0010011010000011 | y_out = 1100011011100011
Time: 4977382000 | x_in = 0010011011100111 | y_out = 1100011100011001
Time: 5000058000 | x_in = 0010011100001111 | y_out = 1100011110010111
Time: 5022734000 | x_in = 0010011011111010 | y_out = 1100100001011111
Time: 5045410000 | x_in = 0010011010101000 | y_out = 1100100101101111
Time: 5068086000 | x_in = 0010011000011011 | y_out = 1100101011000101
Time: 5090762000 | x_in = 0010010101010010 | y_out = 1100110001100000
Time: 5113438000 | x_in = 0010010001001111 | y_out = 1100111000111101
Time: 5136114000 | x_in = 0010001100010100 | y_out = 1101000001011100
Time: 5158790000 | x_in = 0010000110100010 | y_out = 1101001010110111
Time: 5181466000 | x_in = 0001111111111100 | y_out = 1101010101001110
